#,Learner First Name (s),Learner Last Name,Learner Grade,Learner Class,Learner Mobile Number,Learner Email address (Optional),Parent 1 First Name (s),Parent 1 Last Name,Parent 1 Mobile Number,Parent 1 Email address (Optional),Parent 2 First Name (s),Parent 2 Last Name,Parent 2 Mobile Number,Parent 2 Email address (Optional),,,,,
150,Kevin,Schultz,Grade 1,Gr 1D,828077377,geeber@comcast.net,Dawn,Schultz,828077377,geeber@comcast.net,John,Schultz,828077377,geeber@comcast.net,,,,,
151,Ronald,Jackson,Grade 1,Gr 1D,835736714,purvis@hotmail.com,Raven,Jackson,835736714,purvis@hotmail.com,Arthur,Jackson,835736714,purvis@hotmail.com,,,,,
152,Tracy,Wyatt,Grade 1,Gr 1D,846743005,dwsauder@comcast.net,Laurie,Wyatt,846743005,dwsauder@comcast.net,Jeffrey,Wyatt,846743005,dwsauder@comcast.net,,,,,
153,David,Russell,Grade 1,Gr 1D,829227113,mbrown@live.com,Stephanie,Russell,829227113,mbrown@live.com,Michael,Russell,829227113,mbrown@live.com,,,,,
154,Toni,Evans,Grade 1,Gr 1D,834281252,satishr@msn.com,Kathleen,Evans,834281252,satishr@msn.com,Cody,Evans,834281252,satishr@msn.com,,,,,
155,Casey,Davis,Grade 1,Gr 1D,845622064,daveed@hotmail.com,Marisa,Davis,845622064,daveed@hotmail.com,William,Davis,845622064,daveed@hotmail.com,,,,,
156,Tommy,Wilson,Grade 1,Gr 1D,846759794,mbswan@hotmail.com,Robin,Wilson,846759794,mbswan@hotmail.com,Jesse,Wilson,846759794,mbswan@hotmail.com,,,,,
157,Kyle,Osborn,Grade 1,Gr 1D,825934464,novanet@verizon.net,Kathleen,Osborn,825934464,novanet@verizon.net,Jeffrey,Osborn,825934464,novanet@verizon.net,,,,,
158,Timothy,Freeman,Grade 1,Gr 1D,838389282,fviegas@aol.com,Gina,Freeman,838389282,fviegas@aol.com,Martin,Freeman,838389282,fviegas@aol.com,,,,,
159,Jennifer,Boyd,Grade 1,Gr 1D,829702535,rkobes@att.net,Brittany,Boyd,829702535,rkobes@att.net,Rodney,Boyd,829702535,rkobes@att.net,,,,,
160,Raymond,Walls,Grade 1,Gr 1D,821995398,grolschie@aol.com,Jessica,Walls,821995398,grolschie@aol.com,Daniel,Walls,821995398,grolschie@aol.com,,,,,
161,Lisa,Cook,Grade 1,Gr 1D,836189524,osaru@outlook.com,Michelle,Cook,836189524,osaru@outlook.com,Sean,Cook,836189524,osaru@outlook.com,,,,,
162,Amanda,Mora,Grade 1,Gr 1D,8569825,lstaf@sbcglobal.net,Amber,Mora,8569825,lstaf@sbcglobal.net,Steven,Mora,8569825,lstaf@sbcglobal.net,,,,,
163,Traci,Patel,Grade 1,Gr 1D,833267474,pthomsen@comcast.net,Erika,Patel,833267474,pthomsen@comcast.net,Jerome,Patel,833267474,pthomsen@comcast.net,,,,,
164,Lucas,Walker,Grade 1,Gr 1D,846673953,marcs@sbcglobal.net,Rachael,Walker,846673953,marcs@sbcglobal.net,Nicholas,Walker,846673953,marcs@sbcglobal.net,,,,,
165,Paul,Morgan,Grade 1,Gr 1D,83440796,grossman@verizon.net,Amy,Morgan,83440796,grossman@verizon.net,Elijah,Morgan,83440796,grossman@verizon.net,,,,,
166,Jessica,Larson,Grade 1,Gr 1E,834153419,solomon@live.com,Regina,Larson,834153419,solomon@live.com,Curtis,Larson,834153419,solomon@live.com,,,,,
167,Kevin,Ford,Grade 1,Gr 1E,846519690,seurat@mac.com,Shannon,Ford,846519690,seurat@mac.com,Alexander,Ford,846519690,seurat@mac.com,,,,,
168,Heather,Briggs,Grade 1,Gr 1E,839006143,lstaf@sbcglobal.net,Jennifer,Briggs,839006143,lstaf@sbcglobal.net,Wesley,Briggs,839006143,lstaf@sbcglobal.net,,,,,
169,David,Bell,Grade 1,Gr 1E,839073458,mcrawfor@optonline.net,Taylor,Bell,839073458,mcrawfor@optonline.net,Joshua,Bell,839073458,mcrawfor@optonline.net,,,,,
170,Richard,Huang,Grade 1,Gr 1E,828077377,galbra@sbcglobal.net,Claudia,Huang,828077377,galbra@sbcglobal.net,Kevin,Huang,828077377,galbra@sbcglobal.net,,,,,
171,Kelly,Torres,Grade 1,Gr 1E,835736714,fraser@yahoo.ca,Rebecca,Torres,835736714,fraser@yahoo.ca,Christian,Torres,835736714,fraser@yahoo.ca,,,,,
172,Tamara,Watkins,Grade 1,Gr 1E,846743005,crobles@yahoo.com,Mrs.,Watkins,846743005,crobles@yahoo.com,Timothy,Watkins,846743005,crobles@yahoo.com,,,,,
173,Mark,Powell,Grade 1,Gr 1E,829227113,cmdrgravy@yahoo.ca,Heather,Powell,829227113,cmdrgravy@yahoo.ca,Jerome,Powell,829227113,cmdrgravy@yahoo.ca,,,,,
174,Mr.,William,Grade 1,Gr 1E,834281252,dkeeler@aol.com,Beth,William,834281252,dkeeler@aol.com,Aaron,William,834281252,dkeeler@aol.com,,,,,
175,Jacqueline,Smith,Grade 1,Gr 1E,845622064,jbuchana@aol.com,Elizabeth,Smith,845622064,jbuchana@aol.com,Robert,Smith,845622064,jbuchana@aol.com,,,,,
176,Jonathan,Smith,Grade 1,Gr 1E,846759794,anicolao@icloud.com,Elizabeth,Smith,846759794,anicolao@icloud.com,Jose,Smith,846759794,anicolao@icloud.com,,,,,
177,Sean,Rodgers,Grade 1,Gr 1E,825934464,rsmartin@comcast.net,Michelle,Rodgers,825934464,rsmartin@comcast.net,Steven,Rodgers,825934464,rsmartin@comcast.net,,,,,
178,Ms.,Gloria,Grade 1,Gr 1E,838389282,scotfl@mac.com,Diana,Gloria,838389282,scotfl@mac.com,John,Gloria,838389282,scotfl@mac.com,,,,,
179,Kevin,Liu,Grade 1,Gr 1E,829702535,skythe@outlook.com,Molly,Liu,829702535,skythe@outlook.com,Daniel,Liu,829702535,skythe@outlook.com,,,,,
180,Ashley,Lawrence,Grade 1,Gr 1E,821995398,dodong@gmail.com,Dr.,Lawrence,821995398,dodong@gmail.com,Brian,Lawrence,821995398,dodong@gmail.com,,,,,
181,Cory,West,Grade 1,Gr 1E,836189524,drolsky@att.net,Kelli,West,836189524,drolsky@att.net,Jerry,West,836189524,drolsky@att.net,,,,,
182,Barbara,Osborne,Grade 1,Gr 1E,8569825,flavell@yahoo.com,Michelle,Osborne,8569825,flavell@yahoo.com,Troy,Osborne,8569825,flavell@yahoo.com,,,,,
183,Brian,Wallace,Grade 1,Gr 1E,833267474,neonatus@comcast.net,Sarah,Wallace,833267474,neonatus@comcast.net,John,Wallace,833267474,neonatus@comcast.net,,,,,
184,Carrie,King,Grade 1,Gr 1E,846673953,rsteiner@mac.com,Erika,King,846673953,rsteiner@mac.com,David,King,846673953,rsteiner@mac.com,,,,,
185,Michael,Palmer,Grade 1,Gr 1E,83440796,delpino@yahoo.ca,Erica,Palmer,83440796,delpino@yahoo.ca,Jeffrey,Palmer,83440796,delpino@yahoo.ca,,,,,
186,Brandon,Johnson,Grade 1,Gr 1E,834153419,seurat@comcast.net,Natalie,Johnson,834153419,seurat@comcast.net,Gary,Johnson,834153419,seurat@comcast.net,,,,,
187,Lisa,Cross,Grade 1,Gr 1E,846519690,cgcra@mac.com,Elizabeth,Cross,846519690,cgcra@mac.com,Anthony,Cross,846519690,cgcra@mac.com,,,,,
188,Destiny,Raymond,Grade 1,Gr 1E,839006143,bigmauler@optonline.net,Diana,Raymond,839006143,bigmauler@optonline.net,Jesus,Raymond,839006143,bigmauler@optonline.net,,,,,
189,Joseph,Blake,Grade 1,Gr 1E,839073458,tfinniga@mac.com,Angela,Blake,839073458,tfinniga@mac.com,Christopher,Blake,839073458,tfinniga@mac.com,,,,,
190,Phyllis,Robinson,Grade 1,Gr 1E,828077377,chaffar@verizon.net,Cathy,Robinson,828077377,chaffar@verizon.net,George,Robinson,828077377,chaffar@verizon.net,,,,,
191,Kyle,Turner,Grade 1,Gr 1E,835736714,cumarana@msn.com,Kayla,Turner,835736714,cumarana@msn.com,Joseph,Turner,835736714,cumarana@msn.com,,,,,
192,Jeremy,Melton,Grade 1,Gr 1E,846743005,konst@yahoo.com,Lisa,Melton,846743005,konst@yahoo.com,Dalton,Melton,846743005,konst@yahoo.com,,,,,
193,Andrea,Torres,Grade 1,Gr 1E,829227113,reziac@yahoo.com,Kelly,Torres,829227113,reziac@yahoo.com,Michael,Torres,829227113,reziac@yahoo.com,,,,,
194,Victoria,Klein,Grade 1,Gr 1E,834281252,eegsa@att.net,Kimberly,Klein,834281252,eegsa@att.net,Kenneth,Klein,834281252,eegsa@att.net,,,,,
195,Ronald,Hernandez,Grade 1,Gr 1E,845622064,gbacon@optonline.net,Lauren,Hernandez,845622064,gbacon@optonline.net,Adam,Hernandez,845622064,gbacon@optonline.net,,,,,
196,Lisa,Romero,Grade 1,Gr 1E,846759794,bdbrown@optonline.net,Victoria,Romero,846759794,bdbrown@optonline.net,Scott,Romero,846759794,bdbrown@optonline.net,,,,,
197,Hayley,Rhodes,Grade 1,Gr 1E,825934464,alias@msn.com,Emily,Rhodes,825934464,alias@msn.com,Randy,Rhodes,825934464,alias@msn.com,,,,,
198,Nancy,Torres,Grade 1,Gr 1E,838389282,roesch@me.com,Rachel,Torres,838389282,roesch@me.com,Mark,Torres,838389282,roesch@me.com,,,,,
199,Joshua,Dominguez,Grade 2,Gr 2A,829702535,iamcal@me.com,Kathryn,Dominguez,829702535,iamcal@me.com,James,Dominguez,829702535,iamcal@me.com,,,,,
200,Jason,Payne,Grade 2,Gr 2A,821995398,thowell@msn.com,Shelly,Payne,821995398,thowell@msn.com,Leon,Payne,821995398,thowell@msn.com,,,,,
201,Daniel,Rosales,Grade 2,Gr 2A,836189524,dowdy@msn.com,Jennifer,Rosales,836189524,dowdy@msn.com,Mathew,Rosales,836189524,dowdy@msn.com,,,,,
202,Tommy,Reyes,Grade 2,Gr 2A,8569825,wayward@gmail.com,Diane,Reyes,8569825,wayward@gmail.com,Justin,Reyes,8569825,wayward@gmail.com,,,,,
203,Edgar,Young,Grade 2,Gr 2A,833267474,sthomas@msn.com,Teresa,Young,833267474,sthomas@msn.com,Tyler,Young,833267474,sthomas@msn.com,,,,,
204,Kyle,Gonzalez,Grade 2,Gr 2A,846673953,ninenine@optonline.net,Janet,Gonzalez,846673953,ninenine@optonline.net,Darren,Gonzalez,846673953,ninenine@optonline.net,,,,,
205,Maria,Garza,Grade 2,Gr 2A,83440796,tromey@msn.com,Melissa,Garza,83440796,tromey@msn.com,Melvin,Garza,83440796,tromey@msn.com,,,,,
206,Matthew,Robles,Grade 2,Gr 2A,834153419,ryanvm@att.net,Kristi,Robles,834153419,ryanvm@att.net,Kevin,Robles,834153419,ryanvm@att.net,,,,,
207,Daniel,Jones,Grade 2,Gr 2A,846519690,kidehen@comcast.net,Leah,Jones,846519690,kidehen@comcast.net,Eric,Jones,846519690,kidehen@comcast.net,,,,,
208,Carolyn,Brown,Grade 2,Gr 2A,839006143,mobileip@yahoo.com,Linda,Brown,839006143,mobileip@yahoo.com,David,Brown,839006143,mobileip@yahoo.com,,,,,
209,Xavier,Hunter,Grade 2,Gr 2A,839073458,nimaclea@outlook.com,Amanda,Hunter,839073458,nimaclea@outlook.com,Christopher,Hunter,839073458,nimaclea@outlook.com,,,,,
210,Charles,Bailey,Grade 2,Gr 2A,828077377,mhassel@aol.com,Jill,Bailey,828077377,mhassel@aol.com,Gregory,Bailey,828077377,mhassel@aol.com,,,,,
211,Christian,Allen,Grade 2,Gr 2A,835736714,thurston@att.net,Becky,Allen,835736714,thurston@att.net,Matthew,Allen,835736714,thurston@att.net,,,,,
212,Sergio,Santana,Grade 2,Gr 2A,846743005,cisugrad@optonline.net,Taylor,Santana,846743005,cisugrad@optonline.net,Matthew,Santana,846743005,cisugrad@optonline.net,,,,,
213,Scott,Walker,Grade 2,Gr 2A,829227113,yxing@att.net,Carolyn,Walker,829227113,yxing@att.net,Jack,Walker,829227113,yxing@att.net,,,,,
214,Robert,Lam,Grade 2,Gr 2A,834281252,avalon@live.com,Cheryl,Lam,834281252,avalon@live.com,Nicholas,Lam,834281252,avalon@live.com,,,,,
215,Patrick,Rodriguez,Grade 2,Gr 2A,845622064,kmiller@gmail.com,Amanda,Rodriguez,845622064,kmiller@gmail.com,Jacob,Rodriguez,845622064,kmiller@gmail.com,,,,,
216,Mark,Johnson,Grade 2,Gr 2A,846759794,shaffei@yahoo.com,Alexa,Johnson,846759794,shaffei@yahoo.com,Dennis,Johnson,846759794,shaffei@yahoo.com,,,,,
217,Natalie,Newman,Grade 2,Gr 2A,825934464,fangorn@optonline.net,Sarah,Newman,825934464,fangorn@optonline.net,Roberto,Newman,825934464,fangorn@optonline.net,,,,,
218,Michele,Castillo,Grade 2,Gr 2A,838389282,jgmyers@me.com,Whitney,Castillo,838389282,jgmyers@me.com,Jeffrey,Castillo,838389282,jgmyers@me.com,,,,,
219,Anthony,Smith,Grade 2,Gr 2A,829702535,jonadab@verizon.net,Kayla,Smith,829702535,jonadab@verizon.net,Roger,Smith,829702535,jonadab@verizon.net,,,,,
220,Bryan,Russell,Grade 2,Gr 2A,821995398,bmidd@yahoo.ca,Lisa,Russell,821995398,bmidd@yahoo.ca,James,Russell,821995398,bmidd@yahoo.ca,,,,,
221,Misty,Henderson,Grade 2,Gr 2A,836189524,rsmartin@hotmail.com,Nicole,Henderson,836189524,rsmartin@hotmail.com,Kevin,Henderson,836189524,rsmartin@hotmail.com,,,,,
222,Tommy,Flynn,Grade 2,Gr 2A,8569825,rsteiner@gmail.com,Crystal,Flynn,8569825,rsteiner@gmail.com,James,Flynn,8569825,rsteiner@gmail.com,,,,,
223,Denise,Aguilar,Grade 2,Gr 2A,833267474,gospodin@optonline.net,Mary,Aguilar,833267474,gospodin@optonline.net,David,Aguilar,833267474,gospodin@optonline.net,,,,,
224,Allison,Barrera,Grade 2,Gr 2A,846673953,tlinden@hotmail.com,Traci,Barrera,846673953,tlinden@hotmail.com,Jeffery,Barrera,846673953,tlinden@hotmail.com,,,,,
225,Renee,House,Grade 2,Gr 2A,83440796,vmalik@msn.com,Courtney,House,83440796,vmalik@msn.com,Roger,House,83440796,vmalik@msn.com,,,,,
226,Amanda,Goodman,Grade 2,Gr 2A,834153419,maikelnai@outlook.com,Patricia,Goodman,834153419,maikelnai@outlook.com,Blake,Goodman,834153419,maikelnai@outlook.com,,,,,
227,Juan,Perkins,Grade 2,Gr 2B,846519690,onestab@yahoo.ca,Glenda,Perkins,846519690,onestab@yahoo.ca,Justin,Perkins,846519690,onestab@yahoo.ca,,,,,
228,Robert,Graham,Grade 2,Gr 2B,839006143,chaffar@mac.com,Heather,Graham,839006143,chaffar@mac.com,William,Graham,839006143,chaffar@mac.com,,,,,
229,Lauren,Ramirez,Grade 2,Gr 2B,839073458,hikoza@mac.com,Erica,Ramirez,839073458,hikoza@mac.com,Matthew,Ramirez,839073458,hikoza@mac.com,,,,,
230,Jennifer,Bailey,Grade 2,Gr 2B,828077377,sequin@gmail.com,Brenda,Bailey,828077377,sequin@gmail.com,Jorge,Bailey,828077377,sequin@gmail.com,,,,,
231,Amanda,Lewis,Grade 2,Gr 2B,835736714,naoya@mac.com,Yolanda,Lewis,835736714,naoya@mac.com,Gary,Lewis,835736714,naoya@mac.com,,,,,
232,Miss,Cindy,Grade 2,Gr 2B,846743005,jelmer@verizon.net,Shannon,Cindy,846743005,jelmer@verizon.net,Dustin,Cindy,846743005,jelmer@verizon.net,,,,,
233,Donna,Scott,Grade 2,Gr 2B,829227113,firstpr@live.com,Audrey,Scott,829227113,firstpr@live.com,Douglas,Scott,829227113,firstpr@live.com,,,,,
234,Nathaniel,Martinez,Grade 2,Gr 2B,834281252,temmink@msn.com,Kristen,Martinez,834281252,temmink@msn.com,Christopher,Martinez,834281252,temmink@msn.com,,,,,
235,Mary,Miller,Grade 2,Gr 2B,845622064,rtanter@gmail.com,Ruth,Miller,845622064,rtanter@gmail.com,Bradley,Miller,845622064,rtanter@gmail.com,,,,,
236,Anthony,Miller,Grade 2,Gr 2B,846759794,rafasgj@sbcglobal.net,Megan,Miller,846759794,rafasgj@sbcglobal.net,Zachary,Miller,846759794,rafasgj@sbcglobal.net,,,,,
237,Michael,Mejia,Grade 2,Gr 2B,825934464,aglassis@msn.com,Morgan,Mejia,825934464,aglassis@msn.com,Philip,Mejia,825934464,aglassis@msn.com,,,,,
238,Terri,Harris,Grade 2,Gr 2B,838389282,caronni@verizon.net,Jennifer,Harris,838389282,caronni@verizon.net,Larry,Harris,838389282,caronni@verizon.net,,,,,
239,Patrick,Willis,Grade 2,Gr 2B,829702535,keutzer@optonline.net,Karen,Willis,829702535,keutzer@optonline.net,Francisco,Willis,829702535,keutzer@optonline.net,,,,,
240,Bryan,Fernandez,Grade 2,Gr 2B,821995398,treit@verizon.net,Felicia,Fernandez,821995398,treit@verizon.net,David,Fernandez,821995398,treit@verizon.net,,,,,
241,Mark,Hawkins,Grade 2,Gr 2B,836189524,mdielmann@yahoo.ca,Stephanie,Hawkins,836189524,mdielmann@yahoo.ca,Mr.,Hawkins,836189524,mdielmann@yahoo.ca,,,,,
242,Evelyn,Bailey,Grade 2,Gr 2B,8569825,jmmuller@icloud.com,Monique,Bailey,8569825,jmmuller@icloud.com,Maurice,Bailey,8569825,jmmuller@icloud.com,,,,,
243,Jasmine,Pham,Grade 2,Gr 2B,833267474,agolomsh@sbcglobal.net,Becky,Pham,833267474,agolomsh@sbcglobal.net,Tom,Pham,833267474,agolomsh@sbcglobal.net,,,,,
244,Andrew,Ortega,Grade 2,Gr 2B,846673953,rohitm@icloud.com,Sheila,Ortega,846673953,rohitm@icloud.com,Timothy,Ortega,846673953,rohitm@icloud.com,,,,,
245,Michael,Smith,Grade 2,Gr 2B,83440796,rsteiner@sbcglobal.net,Suzanne,Smith,83440796,rsteiner@sbcglobal.net,Darryl,Smith,83440796,rsteiner@sbcglobal.net,,,,,Jr.
246,Sarah,Martinez,Grade 2,Gr 2B,834153419,cameron@gmail.com,Stephanie,Martinez,834153419,cameron@gmail.com,John,Martinez,834153419,cameron@gmail.com,,,,,
247,Theresa,Newman,Grade 2,Gr 2B,846519690,dleconte@aol.com,Susan,Newman,846519690,dleconte@aol.com,Justin,Newman,846519690,dleconte@aol.com,,,,,
248,Amber,Hanson,Grade 2,Gr 2B,839006143,jmmuller@optonline.net,Beth,Hanson,839006143,jmmuller@optonline.net,Angel,Hanson,839006143,jmmuller@optonline.net,,,,,
249,Bryan,Zimmerman,Grade 2,Gr 2B,839073458,shrapnull@sbcglobal.net,Alexandra,Zimmerman,839073458,shrapnull@sbcglobal.net,Christopher,Zimmerman,839073458,shrapnull@sbcglobal.net,,,,,
250,Cheryl,Glass,Grade 2,Gr 2B,828077377,dialworld@aol.com,Tracy,Glass,828077377,dialworld@aol.com,Kevin,Glass,828077377,dialworld@aol.com,,,,,
251,Laura,Williams,Grade 2,Gr 2B,835736714,drjlaw@comcast.net,Emily,Williams,835736714,drjlaw@comcast.net,Anthony,Williams,835736714,drjlaw@comcast.net,,,,,
252,Rodney,Diaz,Grade 2,Gr 2B,846743005,hillct@aol.com,Tammy,Diaz,846743005,hillct@aol.com,Nicholas,Diaz,846743005,hillct@aol.com,,,,,
253,Benjamin,Love,Grade 2,Gr 2B,829227113,inico@aol.com,Margaret,Love,829227113,inico@aol.com,David,Love,829227113,inico@aol.com,,,,,
254,James,Wagner,Grade 2,Gr 2B,834281252,tsuruta@hotmail.com,Vanessa,Wagner,834281252,tsuruta@hotmail.com,Corey,Wagner,834281252,tsuruta@hotmail.com,,,,,
255,Allison,Schaefer,Grade 2,Gr 2B,845622064,thassine@optonline.net,Nicole,Schaefer,845622064,thassine@optonline.net,John,Schaefer,845622064,thassine@optonline.net,,,,,
256,Melissa,Vega,Grade 2,Gr 2B,846759794,magusnet@me.com,Samantha,Vega,846759794,magusnet@me.com,Gregory,Vega,846759794,magusnet@me.com,,,,,
257,Deborah,Alvarez,Grade 2,Gr 2B,825934464,thrymm@sbcglobal.net,Amber,Alvarez,825934464,thrymm@sbcglobal.net,Robert,Alvarez,825934464,thrymm@sbcglobal.net,,,,,
258,David,Duncan,Grade 2,Gr 2B,838389282,miltchev@verizon.net,Kathleen,Duncan,838389282,miltchev@verizon.net,Steven,Duncan,838389282,miltchev@verizon.net,,,,,
259,Cheryl,Newton,Grade 2,Gr 2B,829702535,valdez@live.com,Amanda,Newton,829702535,valdez@live.com,James,Newton,829702535,valdez@live.com,,,,,
260,Joshua,Smith,Grade 2,Gr 2B,821995398,vlefevre@icloud.com,Kelli,Smith,821995398,vlefevre@icloud.com,Mark,Smith,821995398,vlefevre@icloud.com,,,,,
261,Amy,Lopez,Grade 2,Gr 2B,836189524,anicolao@yahoo.ca,Rebecca,Lopez,836189524,anicolao@yahoo.ca,Lee,Lopez,836189524,anicolao@yahoo.ca,,,,,
262,Robert,Reid,Grade 2,Gr 2B,8569825,hakim@outlook.com,Lisa,Reid,8569825,hakim@outlook.com,Andrew,Reid,8569825,hakim@outlook.com,,,,,
263,Robert,Wang,Grade 2,Gr 2B,833267474,noneme@live.com,Amy,Wang,833267474,noneme@live.com,David,Wang,833267474,noneme@live.com,,,,,
264,Tammy,Nelson,Grade 2,Gr 2B,846673953,lpalmer@att.net,Sarah,Nelson,846673953,lpalmer@att.net,Mark,Nelson,846673953,lpalmer@att.net,,,,,
265,Dylan,Gutierrez,Grade 2,Gr 2B,83440796,mschwartz@yahoo.com,Danielle,Gutierrez,83440796,mschwartz@yahoo.com,John,Gutierrez,83440796,mschwartz@yahoo.com,,,,,
266,Michael,Russell,Grade 2,Gr 2B,834153419,grinder@optonline.net,Rebecca,Russell,834153419,grinder@optonline.net,Joseph,Russell,834153419,grinder@optonline.net,,,,,
267,Steven,Reynolds,Grade 2,Gr 2B,846519690,overbom@verizon.net,Cheryl,Reynolds,846519690,overbom@verizon.net,Manuel,Reynolds,846519690,overbom@verizon.net,,,,,
268,Travis,Leon,Grade 2,Gr 2B,839006143,scarolan@yahoo.com,Elizabeth,Leon,839006143,scarolan@yahoo.com,Barry,Leon,839006143,scarolan@yahoo.com,,,,,
269,Adrienne,Gibbs,Grade 2,Gr 2B,839073458,gtaylor@yahoo.ca,Heather,Gibbs,839073458,gtaylor@yahoo.ca,Christopher,Gibbs,839073458,gtaylor@yahoo.ca,,,,,
270,Jacob,Hunt,Grade 2,Gr 2B,828077377,wilsonpm@yahoo.ca,Dana,Hunt,828077377,wilsonpm@yahoo.ca,Justin,Hunt,828077377,wilsonpm@yahoo.ca,,,,,
271,Justin,Brewer,Grade 2,Gr 2B,835736714,jimxugle@gmail.com,Morgan,Brewer,835736714,jimxugle@gmail.com,Michael,Brewer,835736714,jimxugle@gmail.com,,,,,
272,Justin,Lucas,Grade 2,Gr 2B,846743005,sfoskett@verizon.net,Jillian,Lucas,846743005,sfoskett@verizon.net,Jason,Lucas,846743005,sfoskett@verizon.net,,,,,
273,Daniel,Davidson,Grade 2,Gr 2B,829227113,world@aol.com,Darlene,Davidson,829227113,world@aol.com,Wesley,Davidson,829227113,world@aol.com,,,,,
274,John,Floyd,Grade 2,Gr 2B,834281252,srour@mac.com,Mary,Floyd,834281252,srour@mac.com,Brian,Floyd,834281252,srour@mac.com,,,,,
275,Kendra,Stone,Grade 2,Gr 2C,845622064,smpeters@yahoo.ca,Stacey,Stone,845622064,smpeters@yahoo.ca,Justin,Stone,845622064,smpeters@yahoo.ca,,,,,
276,Megan,Farmer,Grade 2,Gr 2C,846759794,rgarcia@hotmail.com,Stephanie,Farmer,846759794,rgarcia@hotmail.com,Robert,Farmer,846759794,rgarcia@hotmail.com,,,,,
277,Brian,Gomez,Grade 2,Gr 2C,825934464,chaikin@comcast.net,Traci,Gomez,825934464,chaikin@comcast.net,Kenneth,Gomez,825934464,chaikin@comcast.net,,,,,
278,Larry,Warren,Grade 2,Gr 2C,838389282,mhoffman@me.com,Dana,Warren,838389282,mhoffman@me.com,David,Warren,838389282,mhoffman@me.com,,,,,
279,Emma,Buchanan,Grade 2,Gr 2C,829702535,manuals@sbcglobal.net,Amanda,Buchanan,829702535,manuals@sbcglobal.net,Michael,Buchanan,829702535,manuals@sbcglobal.net,,,,,
280,Kevin,Malone,Grade 2,Gr 2C,821995398,boomzilla@verizon.net,Dr.,Malone,821995398,boomzilla@verizon.net,Shawn,Malone,821995398,boomzilla@verizon.net,,,,,
281,Timothy,Harris,Grade 2,Gr 2C,836189524,kayvonf@hotmail.com,Rebecca,Harris,836189524,kayvonf@hotmail.com,John,Harris,836189524,kayvonf@hotmail.com,,,,,
282,Chad,Wilson,Grade 2,Gr 2C,8569825,houle@gmail.com,Christy,Wilson,8569825,houle@gmail.com,Daniel,Wilson,8569825,houle@gmail.com,,,,,
283,Lindsay,Randall,Grade 2,Gr 2C,833267474,preneel@live.com,Lisa,Randall,833267474,preneel@live.com,Edward,Randall,833267474,preneel@live.com,,,,,
284,Christina,Zavala,Grade 2,Gr 2C,846673953,ghaviv@hotmail.com,Kristina,Zavala,846673953,ghaviv@hotmail.com,Daniel,Zavala,846673953,ghaviv@hotmail.com,,,,,
285,Steven,Avila,Grade 2,Gr 2C,83440796,curly@aol.com,Michelle,Avila,83440796,curly@aol.com,Anthony,Avila,83440796,curly@aol.com,,,,,
286,Tina,Brooks,Grade 2,Gr 2C,834153419,mhanoh@me.com,Megan,Brooks,834153419,mhanoh@me.com,Andrew,Brooks,834153419,mhanoh@me.com,,,,,
287,Joseph,Byrd,Grade 2,Gr 2C,846519690,psharpe@yahoo.com,Carrie,Byrd,846519690,psharpe@yahoo.com,David,Byrd,846519690,psharpe@yahoo.com,,,,,
288,Debra,Parks,Grade 2,Gr 2C,839006143,library@hotmail.com,Lauren,Parks,839006143,library@hotmail.com,Mathew,Parks,839006143,library@hotmail.com,,,,,
289,Jonathan,Clark,Grade 2,Gr 2C,839073458,matloff@optonline.net,Dana,Clark,839073458,matloff@optonline.net,Daniel,Clark,839073458,matloff@optonline.net,,,,,
290,Dr.,Elaine,Grade 2,Gr 2C,828077377,dkasak@hotmail.com,Tracy,Elaine,828077377,dkasak@hotmail.com,Donald,Elaine,828077377,dkasak@hotmail.com,,,,,
291,Jeffery,Waters,Grade 2,Gr 2C,835736714,khris@mac.com,Cindy,Waters,835736714,khris@mac.com,Larry,Waters,835736714,khris@mac.com,,,,,
292,John,Hernandez,Grade 2,Gr 2C,846743005,chance@hotmail.com,Deborah,Hernandez,846743005,chance@hotmail.com,Christian,Hernandez,846743005,chance@hotmail.com,,,,,
293,Heather,Parker,Grade 2,Gr 2C,829227113,marcs@gmail.com,Eileen,Parker,829227113,marcs@gmail.com,Andrew,Parker,829227113,marcs@gmail.com,,,,,
294,Julia,Ware,Grade 2,Gr 2C,834281252,mstrout@sbcglobal.net,Ashlee,Ware,834281252,mstrout@sbcglobal.net,Bradley,Ware,834281252,mstrout@sbcglobal.net,,,,,
295,Ana,Schmidt,Grade 2,Gr 2C,845622064,munge@optonline.net,Monique,Schmidt,845622064,munge@optonline.net,Glenn,Schmidt,845622064,munge@optonline.net,,,,,
296,Mr.,Joseph,Grade 2,Gr 2C,846759794,fallorn@comcast.net,Michelle,Joseph,846759794,fallorn@comcast.net,Sean,Joseph,846759794,fallorn@comcast.net,,,,,
297,Joseph,Graham,Grade 2,Gr 2C,825934464,sfoskett@att.net,Lisa,Graham,825934464,sfoskett@att.net,Matthew,Graham,825934464,sfoskett@att.net,,,,,
298,Michael,Porter,Grade 2,Gr 2C,838389282,cliffski@verizon.net,Jasmine,Porter,838389282,cliffski@verizon.net,Anthony,Porter,838389282,cliffski@verizon.net,,,,,
299,Melinda,Graves,Grade 2,Gr 2C,829702535,intlprog@comcast.net,Anna,Graves,829702535,intlprog@comcast.net,Donald,Graves,829702535,intlprog@comcast.net,,,,,
